date;count_1;count_2;count_3;count_4;amount_1;amount_2;amount_3;count_5;count_6;count_7;amount_4;type;response
02.01.2017;276;40;92;92;551968.33;549468.33;2500.0;4;0.0;248;350968.3299999999;O;1
09.07.2017;24;3;90;84;552143.66;231444.33000000002;320699.33;4;0.0;18;231444.33;F;1
23.02.2017;29;10;31;31;55254.5;55254.5;0.0;2;0.0;29;55254.50000000001;O;1
21.06.2017;149;25;82;80;552591.99;274491.99;278100.0;3;7.0;134;96391.99;O;0
11.08.2017;51;19;29;29;552986.47;552986.47;0.0;2;0.0;45;227986.47;O;1
08.08.2017;171;27;92;92;553021.09;536241.09;16780.0;4;0.0;154;350841.08999999997;O;1
16.02.2017;171;30;90;90;553285.9463;519885.94629999995;33400.0;4;0.0;138;170985.9463;CC;0
30.01.2018;7;2;88;0;553342.0;553342.0;0.0;3;0.0;1;33342.0;O;0
11.07.2017;35;10;92;92;553442.45;283440.20999999996;270002.24;4;10.0;21;228940.21;O;0
09.03.2017;123;16;90;90;55359.28;55359.28;0.0;4;0.0;92;23163.27999999999;O;1
04.03.2017;56;10;82;82;55362.88;28362.88;26999.999999999996;4;3.0;49;28362.879999999997;O;0
21.06.2017;197;29;88;77;553803.82;279803.81999999995;274000.0;4;13.0;167;227245.15;E;0
05.11.2016;82;24;91;82;553997.8999999999;313997.89999999997;239999.99999999994;3;4.0;75;258897.89999999994;A;0
23.06.2017;49;10;80;80;554370.11;342370.11;212000.0;4;8.0;40;302370.11000000004;O;1
29.06.2017;91;35;75;71;554433.8099999999;235745.26999999996;318688.54;3;0.0;78;235745.27;F;1
19.05.2017;127;23;105;92;554628.55;554628.55;0.0;4;0.0;81;140640.34;O;1
26.03.2017;94;18;92;92;554994.84;539994.84;15000.0;4;1.0;65;280494.84;CC;1
15.04.2017;136;28;82;58;555151.8600000001;235151.86000000004;320000.00000000006;3;5.0;131;235151.85999999993;D;0
06.04.2017;25;8;29;28;55521.770000000004;55521.770000000004;0.0;2;0.0;22;22721.77;O;0
30.01.2017;201;31;92;92;555228.0;275021.11;280206.89;4;10.0;190;275021.1099999999;D;1
01.10.2017;38;21;91;91;555236.9241;555236.9241;0.0;4;0.0;32;162301.9241;O;1
26.08.2017;165;28;89;89;555343.3600000001;291221.68000000005;264121.68000000005;3;13.0;142;283166.68;O;0
15.06.2017;150;25;92;92;555774.77;547470.15;8304.619999999995;4;4.0;129;171370.15;O;1
25.12.2016;119;14;68;68;556394.48;296087.2;260307.27999999997;3;30.0;82;251587.20000000004;D;0
18.06.2017;142;34;92;92;557666.0271000001;413676.02710000006;143990.0;4;4.0;111;301797.64710000006;O;1
26.05.2017;164;22;91;91;557669.39;557669.39;0.0;4;0.0;140;68769.39;O;1
06.04.2017;124;24;91;91;557690.2999999999;275990.3;281699.99999999994;4;17.0;104;255003.30000000005;O;1
29.09.2017;282;33;92;92;557919.48;556780.48;1139.0;4;0.0;230;292880.4799999999;O;1
09.11.2016;153;34;88;88;558128.4099999999;401477.41;156650.99999999994;4;5.0;143;401477.40999999986;O;1
10.07.2017;171;28;92;92;558352.8901;241352.8901;317000.0;4;7.0;163;241352.89009999996;O;1
08.06.2017;121;20;92;92;558605.61;558605.61;0.0;4;0.0;86;92805.60999999999;O;1
01.04.2018;28;10;5;5;55878.65;45278.65;10600.0;2;0.0;24;14778.650000000001;O;1
14.01.2017;133;32;86;86;558855.64;283587.02;275268.62;3;15.0;112;255587.02;O;0
28.11.2016;5;2;0;0;559.76;259.76;300.0;1;2.0;3;259.76;D;0
03.02.2017;64;17;90;56;559247.7;463464.5;95783.19999999995;4;2.0;44;61964.5;A;1
13.05.2017;21;13;36;36;55929.83000000001;55929.83000000001;0.0;3;0.0;20;45929.83;O;0
08.11.2017;51;24;87;87;559299.9419;284508.9419;274791.0;3;0.0;37;284508.94190000003;O;0
22.05.2017;111;27;77;77;559476.77;278376.77;281100.0;3;27.0;76;176993.77000000002;D;0
17.06.2017;195;32;92;92;559666.9084999999;549342.9084999999;10324.0;4;0.0;172;254711.90850000002;O;1
23.05.2017;89;17;92;92;559978.57;249978.56999999998;310000.0;4;3.0;83;169878.57;O;1
04.12.2016;59;21;81;79;560018.9128;269720.91280000005;290298.0;3;6.0;48;247720.9128;F;1
15.01.2017;99;29;76;76;560145.54;483746.54000000004;76399.0;4;0.0;90;458371.54000000004;O;0
22.12.2016;90;24;92;92;560928.6;542315.6;18613.0;4;1.0;77;255315.6;O;1
17.11.2016;93;17;75;75;561126.0700000001;284953.4;276172.67000000004;3;20.0;59;218093.05;O;0
08.11.2016;313;33;92;92;561189.27;551089.27;10100.0;4;1.0;277;298703.2700000001;O;1
28.11.2016;4;3;62;43;56120.0;2970.0;53150.0;3;2.0;2;2970.0;D;0
02.07.2017;76;27;94;91;561254.6;231254.59999999998;330000.0;4;6.0;70;231254.6;O;1
20.06.2017;185;28;90;90;561320.76;298695.38;262625.38;4;12.0;161;216511.59;O;0
01.01.2017;215;37;91;91;562003.52;547275.52;14728.0;4;0.0;188;360275.52;A;1
29.04.2017;277;31;91;89;563059.66;488059.66000000003;75000.0;4;4.0;266;357559.66000000003;O;0
27.04.2017;128;20;91;91;563093.2999999999;504093.29999999993;59000.0;4;2.0;95;131293.3;O;1
28.06.2017;116;24;85;85;563255.29;285105.02;278150.27;3;7.0;99;183105.02000000002;O;0
11.06.2017;252;32;86;86;563354.47;263054.47;300300.0;3;23.0;225;246854.46999999986;O;1
29.07.2017;57;18;68;42;564001.27;482314.67000000004;81686.59999999998;3;2.0;48;109748.32000000002;CC;0
24.02.2017;171;16;72;72;564259.7;288359.69999999995;275900.0;4;36.0;133;283859.7000000001;O;0
27.04.2017;210;32;92;92;564302.5939;339578.08389999997;224724.51;4;9.0;192;339078.0838999999;O;1
10.03.2017;274;36;90;90;564653.8066;564653.8066;0.0;4;0.0;229;344286.30659999995;O;1
20.07.2017;32;13;79;75;564838.1399999999;503034.1399999999;61804.0;3;3.0;18;236034.14;A;1
15.05.2017;170;25;84;81;565514.1678;564329.1678;1185.0;4;0.0;135;125324.76780000002;BBB;1
31.01.2018;42;18;31;26;566219.3;533219.3;33000.0;2;2.0;37;63219.3;O;1
02.04.2017;130;22;91;91;566709.7648;341409.7648;225300.0;4;6.0;114;153276.80479999998;O;1
10.04.2017;64;4;89;85;567280.0;304380.0;262900.0;5;16.0;18;2380.0;D;1
14.09.2017;122;29;99;91;567880.6283000001;289747.62830000004;278133.00000000006;5;11.0;109;289747.6282999999;O;1
02.10.2017;174;40;92;92;568116.5499999999;565421.0499999999;2695.5;4;0.0;154;335961.04999999993;O;1
04.11.2017;87;26;92;92;568237.6799999999;560659.6499999999;7578.030000000028;4;0.0;74;298050.64999999997;O;1
18.02.2017;151;25;88;88;568461.4199999999;389439.51;179021.90999999992;3;6.0;127;206939.50999999992;O;1
21.02.2017;154;24;90;90;568686.31;290686.31000000006;278000.0;4;6.0;145;265686.30999999994;O;0
08.05.2017;296;25;91;89;568708.64;288708.64;280000.0;4;4.0;291;284708.64;BBB;0
18.01.2017;13;4;82;79;568893.0;568893.0;0.0;4;0.0;7;2493.0;O;0
27.12.2016;20;4;63;63;569340.0;289340.0;280000.0;3;7.0;12;285240.0;D;0
24.07.2017;98;19;81;81;570026.73;570026.73;0.0;4;0.0;88;105026.73000000001;O;0
16.05.2017;6;2;2;0;570258.0;570258.0;0.0;1;0.0;1;258.0;A;0
18.07.2017;3;2;13;13;57028.0;57028.0;0.0;1;0.0;2;37028.0;A;1
28.05.2017;53;16;89;89;570513.41;461513.41000000003;109000.0;4;5.0;33;157313.41;D;0
27.12.2016;110;17;85;85;570578.11;439578.11;131000.0;4;5.0;94;165678.11000000002;O;1
29.01.2017;90;29;82;80;570854.4299999999;340854.42999999993;230000.0;4;3.0;82;237854.43;O;1
22.07.2017;111;15;92;77;571094.8499999999;571094.8499999999;0.0;4;0.0;103;79094.84999999999;AA;1
07.06.2017;109;23;91;90;571467.62;264878.62;306589.0;4;12.0;93;254878.62;D;1
21.01.2017;31;7;89;59;571848.64;426848.64;145000.0;4;4.0;22;122848.64;A;1
16.07.2017;68;18;91;91;572333.4757;295333.4757;276999.99999999994;3;6.0;60;288333.4757;O;1
25.10.2017;12;2;212;0;572398.0;572398.0;0.0;4;0.0;1;22398.0;A;0
