iter	Accuracy	Logloss	F1
66	0.8282828283	0.4481841916	0.7548076923
67	0.8282828283	0.4467615769	0.7548076923
68	0.8265993266	0.4460424342	0.7529976019
69	0.8265993266	0.445789767	0.7529976019
70	0.8282828283	0.4454222102	0.7548076923
71	0.8282828283	0.4448557877	0.7548076923
72	0.8282828283	0.4446996551	0.7548076923
73	0.8282828283	0.4438371555	0.7548076923
74	0.8282828283	0.4430786794	0.7548076923
75	0.8282828283	0.4425638927	0.7548076923
76	0.8282828283	0.4417597061	0.7548076923
77	0.8282828283	0.4409621936	0.7548076923
78	0.8282828283	0.4407232463	0.7548076923
79	0.8282828283	0.4399970576	0.7548076923
80	0.82996633	0.4393926677	0.756626506
81	0.8282828283	0.4381731833	0.7548076923
82	0.8282828283	0.4374068782	0.7548076923
83	0.82996633	0.4365205136	0.756626506
84	0.82996633	0.4356701088	0.756626506
85	0.8282828283	0.4341000034	0.7548076923
86	0.8282828283	0.4331820759	0.7548076923
87	0.8282828283	0.4326999012	0.7548076923
88	0.8333333333	0.4320578006	0.7602905569
89	0.82996633	0.4312263492	0.756626506
90	0.8333333333	0.4305959029	0.7602905569
91	0.8333333333	0.430411493	0.7602905569
92	0.8333333333	0.4298838818	0.7602905569
93	0.8333333333	0.4288437041	0.7602905569
94	0.8333333333	0.4284818832	0.7602905569
95	0.82996633	0.4269901219	0.756626506
96	0.82996633	0.4263819885	0.756626506
97	0.82996633	0.4257095198	0.756626506
98	0.835016835	0.4248062555	0.7621359223
99	0.835016835	0.4243441123	0.7621359223
100	0.835016835	0.4234688381	0.7621359223
101	0.835016835	0.422748779	0.7621359223
102	0.835016835	0.4225209055	0.7621359223
103	0.835016835	0.4218097496	0.7621359223
104	0.835016835	0.4209044252	0.7621359223
105	0.835016835	0.4203331069	0.7621359223
106	0.835016835	0.4195414183	0.7621359223
107	0.8316498316	0.4182272098	0.7584541063
108	0.835016835	0.4178133779	0.7621359223
109	0.835016835	0.4176276216	0.7621359223
110	0.835016835	0.4164263438	0.7621359223
111	0.835016835	0.4163123019	0.7621359223
112	0.835016835	0.4154476595	0.7621359223
113	0.8367003367	0.4149081165	0.7651331719
114	0.8367003367	0.4146103625	0.7651331719
115	0.8367003367	0.4145388183	0.7651331719
116	0.8367003367	0.4144029792	0.7651331719
117	0.8367003367	0.4141028523	0.7651331719
118	0.835016835	0.4138406081	0.7621359223
119	0.8367003367	0.4133933415	0.7651331719
120	0.8367003367	0.4126518392	0.7651331719
121	0.8383838384	0.412390543	0.768115942
122	0.8383838384	0.4116301768	0.768115942
123	0.8383838384	0.4115088719	0.768115942
124	0.8383838384	0.411309033	0.768115942
125	0.8383838384	0.410851066	0.768115942
126	0.8400673401	0.4099725907	0.7699757869
127	0.8400673401	0.4087337717	0.7699757869
128	0.8400673401	0.4080180877	0.7699757869
129	0.8400673401	0.4078639527	0.7699757869
130	0.8383838384	0.4076468368	0.768115942
131	0.8400673401	0.4073897524	0.7699757869
132	0.8400673401	0.4070925364	0.7699757869
133	0.8400673401	0.4068825476	0.7699757869
134	0.8400673401	0.4067538284	0.7699757869
135	0.8400673401	0.4064818746	0.7699757869
136	0.8400673401	0.4060163954	0.7699757869
137	0.8417508418	0.4056936363	0.7718446602
138	0.8400673401	0.4054906873	0.7699757869
139	0.8417508418	0.405048158	0.7718446602
140	0.8417508418	0.4047719658	0.7718446602
141	0.8400673401	0.4047418407	0.7699757869
142	0.8417508418	0.4041674322	0.7718446602
143	0.8417508418	0.4039794714	0.7718446602
144	0.8417508418	0.4035993145	0.7718446602
145	0.8417508418	0.4031044317	0.7718446602
146	0.8400673401	0.4021201805	0.7688564477
147	0.8400673401	0.401671027	0.7688564477
148	0.8417508418	0.4013969888	0.7707317073
149	0.8400673401	0.4012207986	0.7688564477
150	0.8400673401	0.3996253925	0.7699757869
151	0.8400673401	0.3993056605	0.7699757869
152	0.8417508418	0.398851194	0.7729468599
153	0.8417508418	0.3986536402	0.7729468599
154	0.8417508418	0.3984474717	0.7729468599
155	0.8417508418	0.3979429436	0.7729468599
156	0.8434343434	0.3975322972	0.7748184019
157	0.8434343434	0.3974534127	0.7748184019
158	0.8417508418	0.3971010399	0.7729468599
159	0.8417508418	0.3969141719	0.7729468599
160	0.8434343434	0.3962049632	0.7748184019
161	0.8434343434	0.396138167	0.7748184019
162	0.8434343434	0.3960766165	0.7748184019
163	0.8451178451	0.3957978521	0.7766990291
164	0.8434343434	0.3957270082	0.7737226277
165	0.8434343434	0.395594589	0.7737226277
166	0.8451178451	0.3954581646	0.7766990291
167	0.8451178451	0.3953975268	0.7766990291
168	0.8451178451	0.3951156277	0.7766990291
169	0.8451178451	0.3947520612	0.7766990291
170	0.8451178451	0.3942468091	0.7766990291
171	0.8451178451	0.3939759774	0.7766990291
172	0.8451178451	0.3936982969	0.7766990291
173	0.8451178451	0.3935623322	0.7766990291
174	0.8451178451	0.3932489518	0.7766990291
175	0.8468013468	0.3927158978	0.7785888078
176	0.8468013468	0.3926154372	0.7785888078
177	0.8468013468	0.3917478309	0.7785888078
178	0.8468013468	0.3914643975	0.7785888078
179	0.8468013468	0.3913188451	0.7785888078
180	0.8468013468	0.391061389	0.7785888078
181	0.8468013468	0.3907496639	0.7785888078
182	0.8468013468	0.3901852473	0.7785888078
183	0.8468013468	0.3900139632	0.7785888078
184	0.8468013468	0.3899469977	0.7785888078
185	0.8468013468	0.3897428055	0.7785888078
186	0.8484848485	0.3895370645	0.7815533981
187	0.8484848485	0.3891302645	0.7815533981
188	0.8484848485	0.3889158159	0.7815533981
189	0.8484848485	0.3885347726	0.7815533981
190	0.8484848485	0.3881454939	0.7815533981
191	0.8468013468	0.3878021581	0.7796610169
192	0.8468013468	0.3876130715	0.7807228916
193	0.8468013468	0.3874634564	0.7807228916
194	0.8501683502	0.3868184077	0.7855421687
195	0.8501683502	0.3867300749	0.7855421687
196	0.8484848485	0.3865549774	0.7826086957
197	0.8501683502	0.3864819846	0.784503632
198	0.8468013468	0.3861953977	0.7807228916
199	0.8468013468	0.3861217263	0.7807228916
200	0.8484848485	0.3860259298	0.7836538462
201	0.8501683502	0.3857184866	0.7855421687
202	0.8484848485	0.3854112358	0.7836538462
203	0.8484848485	0.3853013969	0.7836538462
204	0.8484848485	0.385184453	0.7836538462
205	0.8484848485	0.3850333905	0.7836538462
206	0.8501683502	0.3845365131	0.7855421687
207	0.8501683502	0.3844688072	0.7855421687
208	0.8501683502	0.3842175016	0.7855421687
209	0.8501683502	0.3840553622	0.7855421687
210	0.8501683502	0.3837553652	0.7855421687
211	0.8501683502	0.383602121	0.7855421687
212	0.8484848485	0.3833046942	0.7836538462
213	0.8518518519	0.3828256426	0.7884615385
214	0.8518518519	0.3819682085	0.7894736842
215	0.8535353535	0.3818641496	0.7913669065
216	0.8535353535	0.3817673973	0.7913669065
217	0.8535353535	0.3816733139	0.7913669065
218	0.8535353535	0.3813599915	0.7913669065
219	0.8535353535	0.3813442416	0.7913669065
220	0.8518518519	0.3808061437	0.7894736842
221	0.8518518519	0.3802590906	0.7894736842
222	0.8501683502	0.3798401511	0.7865707434
223	0.8501683502	0.3797222863	0.7865707434
224	0.8501683502	0.3796854627	0.7865707434
225	0.8518518519	0.3793301948	0.7884615385
226	0.8518518519	0.3791659948	0.7884615385
227	0.8518518519	0.3791286759	0.7884615385
228	0.8518518519	0.3790576337	0.7884615385
229	0.8518518519	0.3789668531	0.7884615385
230	0.8518518519	0.3788712599	0.7884615385
231	0.8501683502	0.3783428614	0.7865707434
232	0.8501683502	0.378159392	0.7865707434
233	0.8501683502	0.3780945367	0.7865707434
234	0.8501683502	0.3780252642	0.7865707434
235	0.8501683502	0.3777207169	0.7865707434
236	0.8518518519	0.3774637802	0.7884615385
237	0.8518518519	0.3774210642	0.7884615385
238	0.8518518519	0.377378537	0.7884615385
239	0.8518518519	0.3773715386	0.7884615385
240	0.8518518519	0.3772822232	0.7884615385
241	0.8518518519	0.3769208536	0.7884615385
242	0.8518518519	0.3766944573	0.7884615385
243	0.8518518519	0.3766599603	0.7884615385
244	0.8518518519	0.3766283105	0.7884615385
245	0.8518518519	0.3766120657	0.7884615385
246	0.8518518519	0.376534465	0.7884615385
247	0.8501683502	0.37634988	0.7865707434
248	0.8501683502	0.3761769158	0.7865707434
249	0.8501683502	0.3759640048	0.7865707434
250	0.8501683502	0.3758336689	0.7865707434
251	0.8501683502	0.3757186638	0.7865707434
252	0.8501683502	0.3754203246	0.7865707434
253	0.8501683502	0.3752883305	0.7865707434
254	0.8501683502	0.3751836806	0.7865707434
255	0.8501683502	0.3751806626	0.7865707434
256	0.8501683502	0.3750287479	0.7865707434
257	0.8501683502	0.3749782767	0.7865707434
258	0.8501683502	0.3748371176	0.7865707434
259	0.8501683502	0.3747296037	0.7865707434
260	0.8501683502	0.3747074949	0.7865707434
261	0.8501683502	0.3746142993	0.7865707434
262	0.8501683502	0.3746038196	0.7865707434
263	0.8501683502	0.3745380498	0.7865707434
264	0.8501683502	0.3745310654	0.7865707434
265	0.8518518519	0.3742623777	0.7894736842
266	0.8535353535	0.3740596283	0.7923627685
267	0.8535353535	0.3739946601	0.7923627685
268	0.8535353535	0.3739315893	0.7923627685
269	0.8535353535	0.3738847906	0.7923627685
270	0.8535353535	0.3737110553	0.7923627685
271	0.8535353535	0.3736978771	0.7923627685
272	0.8535353535	0.3736978495	0.7923627685
273	0.8535353535	0.373637343	0.7923627685
274	0.8535353535	0.3735324077	0.7923627685
275	0.8535353535	0.3733912068	0.7923627685
276	0.8535353535	0.3729929069	0.7923627685
277	0.8535353535	0.3729802417	0.7923627685
278	0.8535353535	0.372829141	0.7923627685
279	0.8535353535	0.372626777	0.7923627685
280	0.8535353535	0.3724278661	0.7923627685
281	0.8535353535	0.3722045441	0.7923627685
282	0.8535353535	0.372085958	0.7923627685
283	0.8535353535	0.3720137374	0.7923627685
284	0.8535353535	0.371878296	0.7923627685
285	0.8535353535	0.3715528208	0.7923627685
286	0.8535353535	0.371366724	0.7923627685
287	0.8535353535	0.371289555	0.7923627685
288	0.8535353535	0.3712620748	0.7923627685
289	0.8535353535	0.3712090622	0.7923627685
290	0.8535353535	0.371108247	0.7923627685
291	0.8535353535	0.3710367594	0.7923627685
292	0.8535353535	0.3710202687	0.7923627685
293	0.8535353535	0.3707890734	0.7923627685
294	0.8535353535	0.3707047614	0.7923627685
295	0.8535353535	0.3706237243	0.7923627685
296	0.8535353535	0.3705989076	0.7923627685
297	0.8535353535	0.3705748908	0.7923627685
298	0.8535353535	0.3705649394	0.7923627685
299	0.8535353535	0.370427264	0.7923627685
300	0.8535353535	0.3704100741	0.7923627685
301	0.8569023569	0.3700687507	0.7980997625
302	0.8569023569	0.3700459955	0.7980997625
303	0.8569023569	0.3698922471	0.7980997625
304	0.8569023569	0.3697134469	0.7980997625
305	0.8569023569	0.3696349364	0.7980997625
306	0.8569023569	0.3695665709	0.7980997625
307	0.8569023569	0.369451356	0.7980997625
308	0.8569023569	0.3694180511	0.7980997625
309	0.8569023569	0.3693014377	0.7980997625
310	0.8569023569	0.369267334	0.7980997625
311	0.8569023569	0.3691381112	0.7980997625
312	0.8569023569	0.3690293464	0.7980997625
313	0.8569023569	0.3689699077	0.7980997625
314	0.8569023569	0.3687633724	0.7980997625
315	0.8569023569	0.3684688657	0.7980997625
316	0.8569023569	0.3684131597	0.7980997625
317	0.8569023569	0.3682256388	0.7980997625
318	0.8569023569	0.3680476	0.7980997625
319	0.8569023569	0.3680473292	0.7980997625
320	0.8569023569	0.3680018474	0.7980997625
321	0.8569023569	0.3671752209	0.7980997625
322	0.8569023569	0.3671736852	0.7980997625
323	0.8569023569	0.3670003369	0.7980997625
324	0.8569023569	0.3666306889	0.7980997625
325	0.8569023569	0.3665565591	0.7980997625
326	0.8569023569	0.3665029192	0.7980997625
327	0.8569023569	0.3664772334	0.7980997625
328	0.8569023569	0.3663756372	0.7980997625
329	0.8569023569	0.3662743763	0.7980997625
330	0.8569023569	0.3661181181	0.7980997625
331	0.8569023569	0.3658630304	0.7980997625
332	0.8569023569	0.3658609905	0.7980997625
333	0.8569023569	0.3654480271	0.7980997625
334	0.8569023569	0.3651640246	0.7980997625
335	0.8569023569	0.3648549601	0.7980997625
336	0.8569023569	0.3647512094	0.7980997625
337	0.8569023569	0.3647099538	0.7980997625
338	0.8569023569	0.3646988238	0.7980997625
339	0.8569023569	0.3646915497	0.7980997625
340	0.8569023569	0.3645382657	0.7980997625
341	0.8569023569	0.3641434009	0.7980997625
342	0.8569023569	0.3641278176	0.7980997625
343	0.8569023569	0.3640931917	0.7980997625
344	0.8569023569	0.3640871993	0.7980997625
345	0.8569023569	0.3638977101	0.7980997625
346	0.8569023569	0.3637444833	0.7980997625
347	0.8569023569	0.3637444815	0.7980997625
348	0.8569023569	0.3636945715	0.7980997625
349	0.8569023569	0.3636578089	0.7980997625
350	0.8569023569	0.3636518738	0.7980997625
351	0.8569023569	0.3635860449	0.7980997625
352	0.8569023569	0.3633123053	0.7980997625
353	0.8569023569	0.3630733298	0.7980997625
354	0.8569023569	0.3630714997	0.7980997625
355	0.8569023569	0.3630461086	0.7980997625
356	0.8569023569	0.3630265559	0.7980997625
357	0.8569023569	0.3629926186	0.7980997625
358	0.8569023569	0.362723752	0.7980997625
359	0.8569023569	0.3623477912	0.7980997625
360	0.8569023569	0.3622037887	0.7980997625
361	0.8569023569	0.3621585669	0.7980997625
362	0.8569023569	0.3619016684	0.7980997625
363	0.8569023569	0.3618511373	0.7980997625
364	0.8569023569	0.3618398991	0.7980997625
365	0.8569023569	0.3617398799	0.7980997625
366	0.8569023569	0.361729544	0.7980997625
367	0.8569023569	0.3609971992	0.7980997625
368	0.8569023569	0.3609677193	0.7980997625
369	0.8569023569	0.3609308494	0.7980997625
370	0.8569023569	0.3606691389	0.7980997625
371	0.8569023569	0.3606537443	0.7980997625
372	0.8569023569	0.3605881026	0.7980997625
373	0.8569023569	0.3604570627	0.7980997625
374	0.8569023569	0.36042349	0.7980997625
375	0.8569023569	0.3603808678	0.7980997625
376	0.8569023569	0.3602057504	0.7980997625
377	0.8569023569	0.3601654332	0.7980997625
378	0.8569023569	0.3599886564	0.7980997625
379	0.8569023569	0.3598323217	0.7980997625
380	0.8569023569	0.3598266967	0.7980997625
381	0.8569023569	0.3597807335	0.7980997625
382	0.8569023569	0.3596743689	0.7980997625
383	0.8569023569	0.3596688516	0.7980997625
384	0.8569023569	0.3596161311	0.7980997625
385	0.8569023569	0.3595512572	0.7980997625
386	0.8569023569	0.3591824012	0.7980387	0.8387	0.8569023569	0.35907611388	0.8552188552388	0.8569023569	0389	0.8552188552	0.372939389	0.856390	0.8552188552	0.3729323295	0.8
391	0.8552188552	0.3729240784	0.8
392	0.8569023569	0.3726103399	0.8036951501
393	0.8569023569	0.3725911847	0.8036951501
394	0.8569023569	0.372581168	0.8036951501
395	0.8569023569	0.3725477917	0.8036951501
396	0.8569023569	0.3723999274	0.8036951501
397	0.8569023569	0.3722574274	0.8027842227
398	0.8569023569	0.3721856654	0.8027842227
399	0.8569023569	0.3721856654	0.8027842227
400	0.8569023569	0.3721606242	0.8027842227
401	0.8569023569	0.3721432042	0.8027842227
402	0.8569023569	0.3720295655	0.8027842227
403	0.8569023569	0.371988279	0.8027842227
404	0.8585858586	0.3716991135	0.8046511628
405	0.8585858586	0.3715470126	0.8046511628
406	0.8585858586	0.3715396259	0.8046511628
407	0.8602693603	0.3711615516	0.807424594
408	0.8602693603	0.3711398516	0.807424594
409	0.8602693603	0.3710694413	0.807424594
410	0.8602693603	0.3710428628	0.807424594
411	0.8602693603	0.3710046395	0.807424594
412	0.8602693603	0.3709878799	0.807424594
413	0.8602693603	0.3709742385	0.807424594
414	0.8602693603	0.3708954494	0.807424594
415	0.8602693603	0.3708906575	0.807424594
416	0.8602693603	0.3708901563	0.807424594
417	0.8602693603	0.3708563689	0.807424594
418	0.8585858586	0.3707660504	0.8055555556
419	0.8585858586	0.3705576217	0.8055555556
420	0.8602693603	0.3702170948	0.8083140878
421	0.8602693603	0.3702060283	0.8083140878
422	0.861952862	0.3700908258	0.8101851852
423	0.861952862	0.3699291969	0.8101851852
424	0.861952862	0.3698513278	0.8101851852
425	0.861952862	0.3698452984	0.8101851852
426	0.861952862	0.3697979097	0.8101851852
427	0.861952862	0.3696887586	0.8101851852
428	0.861952862	0.3696351697	0.8101851852
429	0.861952862	0.3695919984	0.8101851852
430	0.8636363636	0.3686667608	0.8120649652
431	0.8636363636	0.3686093619	0.8120649652
432	0.8636363636	0.3685970598	0.8120649652
433	0.8653198653	0.3684097541	0.8139534884
434	0.8653198653	0.3681742917	0.8139534884
435	0.8653198653	0.3679911914	0.8139534884
436	0.8636363636	0.3678122116	0.8120649652
437	0.861952862	0.3677841149	0.8101851852
438	0.861952862	0.3676695834	0.8101851852
439	0.861952862	0.367561439	0.8101851852
440	0.8602693603	0.3674972475	0.8083140878
441	0.8602693603	0.3674972474	0.8083140878
442	0.8602693603	0.3673994332	0.8083140878
443	0.8602693603	0.3664037638	0.8083140878
444	0.8602693603	0.3663959911	0.8083140878
445	0.8602693603	0.3663912747	0.8083140878
446	0.8602693603	0.3663664773	0.8083140878
447	0.8602693603	0.3660824827	0.8083140878
448	0.8602693603	0.3658595853	0.807424594
449	0.8602693603	0.3657464395	0.807424594
450	0.8602693603	0.3654847567	0.8065268065
451	0.8602693603	0.3654436742	0.8065268065
452	0.8636363636	0.3652809211	0.8111888112
453	0.861952862	0.365136322	0.8093023256
454	0.861952862	0.3651066992	0.8093023256
455	0.861952862	0.3650657395	0.8093023256
456	0.861952862	0.3648933128	0.8093023256
457	0.8602693603	0.3648317091	0.8065268065
458	0.861952862	0.3647150376	0.808411215
459	0.8636363636	0.3645574267	0.8111888112
460	0.8636363636	0.3645544336	0.8111888112
461	0.8636363636	0.3645265584	0.8111888112
462	0.8636363636	0.3643195012	0.8111888112
463	0.861952862	0.3642043053	0.8093023256
464	0.861952862	0.364116962	0.8093023256
465	0.861952862	0.3641155613	0.8093023256
466	0.8636363636	0.3638779496	0.8111888112
467	0.8636363636	0.3638182963	0.8111888112
468	0.8636363636	0.3636807911	0.8111888112
469	0.8653198653	0.3636763713	0.8130841121
470	0.8653198653	0.363660576	0.8130841121
471	0.8636363636	0.3635777461	0.8111888112
472	0.8636363636	0.3635681503	0.8111888112
473	0.8636363636	0.3635623934	0.8111888112
474	0.8636363636	0.3633957402	0.8111888112
475	0.8636363636	0.3633229752	0.8111888112
476	0.8636363636	0.3633153368	0.8111888112
477	0.8653198653	0.3630559393	0.8139534884
478	0.8653198653	0.362887656	0.8139534884
479	0.8653198653	0.3626150097	0.8139534884
480	0.8653198653	0.3625806856	0.8139534884
481	0.861952862	0.3622167817	0.8093023256
482	0.861952862	0.3621258517	0.8093023256
483	0.8653198653	0.3620244784	0.8139534884
484	0.8653198653	0.3620014637	0.8139534884
485	0.8653198653	0.3618862375	0.8139534884
486	0.8653198653	0.3618657186	0.8139534884
487	0.8653198653	0.3618622376	0.8139534884
488	0.861952862	0.3617129737	0.8101851852
489	0.8653198653	0.3612525467	0.8139534884
490	0.8636363636	0.3609816115	0.8120649652
491	0.8636363636	0.3608895441	0.8120649652
492	0.8636363636	0.3605084072	0.8120649652
493	0.8636363636	0.3603566392	0.8120649652
494	0.8636363636	0.3603044731	0.8120649652
495	0.8636363636	0.360235467	0.8120649652
496	0.8636363636	0.3601960755	0.8120649652
497	0.8636363636	0.3600577139	0.8120649652
498	0.8636363636	0.3598582016	0.8120649652
499	0.8636363636	0.3593676439	0.8120649652
500	0.861952862	0.359133994	0.8101851852
501	0.8636363636	0.359050604	0.8120649652
502	0.861952862	0.3587320238	0.8101851852
503	0.861952862	0.3584991871	0.8101851852
504	0.861952862	0.3584643978	0.8101851852
505	0.861952862	0.3584517115	0.8101851852
506	0.861952862	0.3583132319	0.8101851852
507	0.861952862	0.3580939592	0.8101851852
508	0.861952862	0.3579064215	0.8101851852
509	0.861952862	0.3578327906	0.8101851852
510	0.861952862	0.3574723762	0.8101851852
511	0.861952862	0.3573099774	0.8101851852
512	0.861952862	0.357194202	0.8101851852
513	0.861952862	0.3570972745	0.8101851852
514	0.861952862	0.3569882439	0.8101851852
515	0.861952862	0.356905298	0.8101851852
516	0.861952862	0.3566046198	0.8101851852
517	0.861952862	0.3558379381	0.8101851852
518	0.8636363636	0.3555926349	0.8120649652
519	0.861952862	0.3554358751	0.8101851852
520	0.8636363636	0.3553247678	0.8120649652
521	0.8636363636	0.3552773793	0.8120649652
522	0.861952862	0.3549914273	0.8101851852
523	0.861952862	0.3549157186	0.8101851852
524	0.867003367	0.3542595773	0.8183908046
525	0.867003367	0.3536536219	0.8183908046
526	0.867003367	0.3533270619	0.8183908046
527	0.867003367	0.3532272166	0.8183908046
528	0.8703703704	0.3528230699	0.8229885057
529	0.8686868687	0.3527363124	0.8211009174
530	0.8686868687	0.3526193907	0.8211009174
531	0.8686868687	0.3522455801	0.8202764977
532	0.8686868687	0.3519742872	0.8202764977
533	0.8686868687	0.3519284418	0.8202764977
534	0.8703703704	0.3517231604	0.8229885057
535	0.8686868687	0.3515537628	0.8202764977
536	0.8703703704	0.351431012	0.8229885057
537	0.8703703704	0.3513970472	0.8229885057
538	0.8686868687	0.3508294712	0.8202764977
539	0.8686868687	0.3506967839	0.8202764977
540	0.867003367	0.3506297511	0.8183908046
541	0.867003367	0.3502927443	0.8183908046
542	0.867003367	0.3500118608	0.8183908046
543	0.867003367	0.3498544222	0.8183908046
544	0.867003367	0.349670536	0.8183908046
545	0.867003367	0.3496654808	0.8183908046
546	0.867003367	0.349590263	0.8183908046
547	0.867003367	0.3493235894	0.8183908046
548	0.867003367	0.3492287663	0.8183908046
549	0.867003367	0.3491738733	0.8183908046
550	0.867003367	0.3491468825	0.8183908046
551	0.867003367	0.3489513384	0.8183908046
552	0.867003367	0.3486487505	0.8183908046
553	0.867003367	0.3482383903	0.8183908046
554	0.8703703704	0.3478160828	0.823798627
555	0.8703703704	0.3473834801	0.823798627
556	0.8703703704	0.3471115203	0.823798627
557	0.8703703704	0.3467149901	0.823798627
558	0.8703703704	0.3466005227	0.823798627
559	0.8703703704	0.3464336711	0.823798627
560	0.8703703704	0.3462967379	0.823798627
561	0.8703703704	0.3462596411	0.823798627
562	0.8720538721	0.345793238	0.8264840183
563	0.8720538721	0.3451503547	0.8264840183
564	0.8720538721	0.344895573	0.8264840183
565	0.8720538721	0.3447164458	0.8264840183
566	0.8703703704	0.3444249006	0.823798627
567	0.8720538721	0.3441324715	0.8264840183
568	0.8720538721	0.3441324489	0.8264840183
569	0.8720538721	0.3440675263	0.8264840183
570	0.8720538721	0.3435652185	0.8264840183
571	0.8737373737	0.3429166351	0.8291571754
572	0.8720538721	0.3427510984	0.8264840183
573	0.8720538721	0.3426025832	0.8264840183
574	0.8720538721	0.3426025693	0.8264840183
575	0.8720538721	0.3425336912	0.8264840183
576	0.8720538721	0.3422976528	0.8264840183
577	0.8720538721	0.3421253139	0.8264840183
578	0.8720538721	0.3420501099	0.8264840183
579	0.8720538721	0.3420412269	0.8264840183
580	0.8737373737	0.341902319	0.828375286
581	0.8754208754	0.341813952	0.8310502283
582	0.8754208754	0.3414281523	0.8310502283
583	0.8754208754	0.3410660898	0.8310502283
584	0.8754208754	0.3409370222	0.8310502283
585	0.8754208754	0.3408184173	0.8310502283
586	0.8754208754	0.3406563745	0.8310502283
587	0.8754208754	0.3403074255	0.8310502283
588	0.8754208754	0.3401698534	0.8310502283
589	0.8754208754	0.3400810566	0.8310502283
590	0.8754208754	0.3400544655	0.8310502283
591	0.8754208754	0.3397100478	0.8310502283
592	0.8771043771	0.3393520212	0.8337129841
593	0.8771043771	0.3393296831	0.8337129841
594	0.8754208754	0.3390929071	0.8310502283
595	0.8754208754	0.3389471199	0.8310502283
596	0.8754208754	0.3387857848	0.8310502283
597	0.8754208754	0.3386659156	0.8310502283
598	0.8754208754	0.3386259619	0.8310502283
599	0.8754208754	0.3385524827	0.8310502283
600	0.8754208754	0.3384837051	0.8310502283
601	0.8754208754	0.3382630207	0.8310502283
602	0.8754208754	0.338235811	0.8310502283
603	0.8754208754	0.3381763436	0.8310502283
604	0.8754208754	0.3381602255	0.8310502283
605	0.8754208754	0.3381542975	0.8310502283
606	0.8754208754	0.3380775104	0.8310502283
607	0.8754208754	0.337856586	0.8310502283
608	0.8754208754	0.3377247014	0.8310502283
609	0.8754208754	0.3375004815	0.8310502283
610	0.8754208754	0.3374327716	0.8310502283
611	0.8754208754	0.336929636	0.8310502283
612	0.8754208754	0.3368274739	0.8310502283
613	0.8754208754	0.3367280308	0.8310502283
614	0.8754208754	0.3365547135	0.8310502283
615	0.8754208754	0.3364641879	0.8310502283
616	0.8754208754	0.3363608036	0.8310502283
